path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/128.png,73,73,569,781,13.515886790880513,24.670205739782414,8.814880649905996
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/129.png,75,76,659,780,78.91298779306433,-9.904368593407343,20.037092414497526
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/130.png,78,78,660,777,70.19208955896431,33.50484095811689,28.353560540990916
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/131.png,74,75,421,781,8.839224206347978,12.243627405226224,26.136879536951486
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/132.png,77,76,743,778,77.44976175015871,4.586642196799014,-0.8867760897864398
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/133.png,80,79,573,776,61.551197030982834,7.067080626235696,18.910381151229558
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/134.png,77,76,545,778,61.248576989607805,8.142815775160189,7.439662374677454
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/135.png,79,78,604,776,18.09367214217354,-31.5198810678319,14.48386945475966
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/136.png,64,64,791,685,10.90782347122159,-57.82084409019422,9.562193148659544
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/137.png,75,75,658,780,-72.43277179826748,11.736943558165908,9.548146193676896
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.7_2/138.png,72,72,421,783,7.403204523761378,-15.147033452004907,4.179288722688589
