path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/0.png,77,77,609,777,-63.100752977666225,12.974635955518597,18.29237213422384
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/1.png,67,67,788,614,57.68088168446782,74.10464765376359,-10.141987805372231
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/10.png,73,73,420,783,43.188241591031115,-12.277171055199199,2.0779086997226917
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/100.png,58,57,798,593,-64.11696216706878,-39.82683708966329,-15.834037520431744
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/101.png,69,69,786,667,19.867236490016246,42.717097929886826,3.0391858507052025
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/102.png,52,52,803,520,64.49719321467222,-47.80895232190115,47.2450316075685
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/103.png,75,76,680,780,61.868238530661834,11.244518689941318,4.8211260979237185
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/104.png,55,55,800,523,-60.066083516360024,80.22403124580897,31.37375328409736
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/105.png,62,61,793,589,-15.565186022305165,31.622057710223288,-72.01685362278398
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/106.png,80,79,700,775,-68.00918102873806,31.107477262198802,22.687465924793035
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/107.png,73,73,502,781,-58.972536440200216,19.369387347534246,-4.627670473271172
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/108.png,81,81,384,773,6.57877566721694,-14.071535620685728,-9.294969167710734
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.5_final_new_formula_2/109.png,75,75,396,779,-20.59362157829074,19.35266501278605,-2.164116454711085
