path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/0.png,80,80,540,774,-66.10696834989221,4.5376031299891935,15.436459286162489
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/1.png,78,77,367,778,-14.010057355579564,16.44493829226791,-6.498150455293312
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/10.png,77,76,650,778,-70.62246365751143,9.593972723947694,4.488023314681045
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/100.png,72,72,405,783,-21.383196534103227,-6.712514156319227,6.887608903491721
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/101.png,78,77,657,777,65.8200302462907,-3.670561695930887,21.869972849734225
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/102.png,78,78,610,777,-61.82547393050775,-14.836324539547064,13.33532601873133
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/103.png,76,77,609,779,-72.83093096343731,-3.8968673797202515,13.731647521779148
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/104.png,72,72,474,782,13.037998632559118,18.000566325171558,11.885185126569741
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/105.png,83,83,541,772,-49.099391620507234,22.44293194918363,17.142340248083634
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/106.png,76,77,609,778,66.7376076068948,-1.3683790294387483,5.917983859288897
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/107.png,73,73,470,782,-36.485527729338436,0.5366470520042993,3.115032807614253
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/108.png,77,77,687,779,-70.48631839219505,-6.093077196065612,-4.427425044561887
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/109.png,76,76,416,779,-28.04964781026784,25.69617952464939,-7.550932355889392
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/11.png,75,75,512,780,-53.02543061084747,30.858046020608317,-1.9960905295407938
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/110.png,73,73,388,781,-15.398545796035064,-0.33789876641175104,12.600796691164035
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/111.png,72,72,348,784,-6.692068144955893,4.199262521049654,8.11680073276446
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/112.png,81,81,560,773,60.41047604341619,-13.156466154871175,13.092535637937756
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/113.png,83,84,662,771,-18.538611573631247,31.12694486533331,26.62458458552444
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/114.png,69,69,785,718,-9.578585769609898,53.117132048936966,12.443653645114093
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/115.png,62,62,793,647,76.17259392709728,6.954586781439977,-15.463594945005589
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/116.png,77,77,337,778,-13.200862911569578,8.412905686976751,-3.4237641945658805
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/117.png,74,74,684,780,-71.87503602774258,44.43689266045269,-45.82431408791053
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/118.png,72,72,493,783,-10.12116044892718,-19.032703035455057,9.24040587993406
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/119.png,77,78,542,778,-58.63980107486331,-0.29951069990330303,7.852553591066383
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/12.png,79,80,583,776,64.15876950520395,6.378171633787881,19.11931412969232
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/120.png,75,76,583,779,-67.80415946704372,-11.395551716014312,23.95615140154867
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/121.png,74,74,410,780,-12.776254608331321,-7.8756612970040925,18.403411342373854
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/122.png,80,79,339,775,1.8578272762657428,4.520850573699823,-6.954099986899033
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/123.png,66,66,789,644,-67.39885285018256,-50.03269009379635,0.8854425115259908
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/124.png,74,74,520,781,-54.32154205671904,21.341205132363545,13.500227559171725
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/125.png,74,74,419,781,18.763877581683232,-5.062325906041592,24.086309901125592
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/126.png,73,72,693,782,-58.53053987739441,4.275500204869949,-14.273654504085226
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/127.png,87,87,707,768,67.2904552941383,38.33261561198781,-6.2688493421456455
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/128.png,73,73,569,781,13.515886790880511,24.67020573978241,8.814880649905996
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/129.png,75,76,659,780,78.91298779306433,-9.904368593407344,20.03709241449753
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/13.png,76,75,648,780,65.07905764135741,7.254730325356069,-0.4483184666707221
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/130.png,78,78,660,777,70.19208955896431,33.50484095811689,28.35356054099092
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/131.png,74,75,421,781,8.839224206347977,12.243627405226224,26.13687953695149
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/132.png,77,76,743,778,77.4497617501587,4.586642196799014,-0.8867760897864398
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/133.png,80,79,573,776,61.55119703098283,7.067080626235696,18.910381151229558
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/134.png,77,76,545,778,61.24857698960781,8.142815775160189,7.439662374677455
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/135.png,79,78,604,776,18.09367214217354,-31.519881067831896,14.48386945475966
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/136.png,64,64,791,685,10.90782347122159,-57.820844090194214,9.562193148659542
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/137.png,75,75,658,780,-72.4327717982675,11.736943558165908,9.548146193676896
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_2/138.png,72,72,421,783,7.403204523761377,-15.147033452004907,4.1792887226885895
