path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/0.png,77,76,755,778,-74.97287955394434,-18.60184366347006,15.871498781021627
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/1.png,78,77,666,777,68.06678071036056,32.016607553981444,17.953470835437727
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/10.png,88,87,714,767,-47.08915626982399,-46.21750777761528,-56.99651650476851
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/100.png,78,78,727,777,65.17867978513982,35.984343551383965,35.591491543095
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/101.png,78,78,776,690,14.76909087188436,33.78187123653537,-24.966139563824193
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/102.png,76,76,517,779,-10.131948231486136,26.72284500585149,1.946856267860738
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/103.png,73,73,782,772,65.48559920082545,27.64822084106121,-0.5727280407471547
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/104.png,72,72,682,783,67.05448371812972,-13.206229040103974,25.56437751760489
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/105.png,73,73,556,782,64.52218260570868,-30.631699051454266,2.889089926226859
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/106.png,81,80,774,766,10.10996807982766,29.90813110146455,-39.076159172871506
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/107.png,78,78,629,776,2.0828140192709883,32.422831701723666,-0.4818060230249088
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/v2_aug_data_alpha_0.7_1/108.png,73,73,709,782,86.1838199480263,-40.08896593439686,22.980415533164887
