path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/668.jpg,57,23,286,696,15.479525911900092,3.3533730450501875,1.0738363643615603
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/674.jpg,161,19,1593,4001,9.893851586386228,11.800708102795433,2.5841697830492607
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/679.jpg,54,25,230,524,1.6883881917885573,14.772139459743213,0.5430287771321505
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/687.jpg,83,127,931,1873,1.7099582511264397,14.895168539972104,3.2396683020025145
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/688.jpg,44,12,279,701,8.22313257902089,-10.270795199522777,-3.253492847114685
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/692.jpg,92,37,838,1779,1.9478810280091434,6.369788765512521,0.5926640892784163
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/694.jpg,59,34,192,404,11.877087303165352,-1.952893082457309,-1.7125777521298984
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/698.jpg,226,199,893,1992,-9.305931191306374,-5.22363363781091,-0.8346484203495016
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/699.jpg,75,60,363,768,-7.631603437296005,-1.8495801643210288,-3.932108560086299
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/700.jpg,70,16,355,810,-4.300020398685013,5.433951937716657,0.42504762104792343
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/702.jpg,52,70,637,1483,1.9252906525729705,-0.3734027789186946,-4.352146146004362
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/707.jpg,222,138,1022,1838,2.7437940059256865,-7.805018879623534,5.130736895345569
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/713.jpg,66,26,216,335,-3.9674365121159787,10.212900459177423,4.957498041098298
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/721.jpg,162,101,1018,2122,-12.264214745135368,-2.2908806165889604,-1.3129751714723852
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/727.jpg,101,60,551,1046,8.76415527711888,41.59882675135685,-4.878567336974794
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/728.jpg,106,51,965,1725,2.9292908758476623,30.505873045318268,-5.586067841551038
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/729.jpg,396,113,1451,2737,-6.768400814373654,-3.7811680226148963,4.197977802813981
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/730.jpg,41,24,299,749,6.783072888876617,5.552987482443061,-1.846034023226979
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/734.jpg,52,21,313,549,-10.405405378547563,-0.7111389689305133,-7.1389909893042125
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/743.jpg,50,104,1407,2445,1.219292686089219,29.85183616955262,-6.456292142148155
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/748.jpg,84,101,776,1715,-0.03718732856241573,8.870397929688666,-10.791315409346494
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/751.jpg,125,16,268,363,11.724946654320403,-23.1592893162397,-0.9129278077686123
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/752.jpg,78,80,828,1674,-0.611860511229835,13.961280273382561,-8.975200895626594
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/754.jpg,134,37,595,1365,-1.0413521591286266,4.445648979880062,2.068986042566868
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/760.jpg,47,2,311,609,0.5842887983420735,-1.7856529118035194,-1.0201434372974936
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/765.jpg,57,54,295,742,-6.848969830123459,11.324580240558221,-4.13209084650081
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/767.jpg,100,82,1625,3469,1.5580511846328176,3.1722012433812723,11.779287864076956
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/772.jpg,42,19,237,497,-3.370364360221567,6.621332026161868,2.069575826066209
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/775.jpg,32,72,473,1164,-3.057850761238763,14.043460392648079,-1.6389304651607137
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/776.jpg,131,107,443,880,4.093264479057375,-4.612413019051819,1.4324829590760249
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/778.jpg,239,145,1190,2273,0.09946634380192873,15.436862570026895,1.1309577431379076
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/779.jpg,68,77,420,1044,-5.150761613421913,7.472710755328216,-3.740667037266025
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/781.jpg,94,24,322,526,-3.749218163877566,-2.3958375598442507,-2.09580305200909
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/782.jpg,147,81,985,2249,3.5390173088327366,7.561886831386724,-4.564809016995189
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/783.jpg,370,14,1991,2899,-13.062283239044458,0.39967297143693126,7.0798958713721065
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/788.jpg,113,8,549,1228,-13.276592988340058,-0.9803552552981503,-0.5152286832836696
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/791.jpg,13,6,564,1387,-1.2936921085456807,1.210932906654899,-2.7207731520142953
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/793.jpg,71,42,304,553,-11.636872060324237,-13.90442236555269,-1.6956877514616273
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/796.jpg,80,60,291,650,-6.273377464735378,4.198802315135974,-2.265714043162043
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/797.jpg,112,125,506,1289,-1.9728600934365372,3.7054379487386107,-0.01097748092203209
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/803.jpg,209,150,688,1273,-0.3030909843930722,28.10658477836203,-0.36752460989733576
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/806.jpg,36,9,249,553,-6.399080901916114,3.0325788421748596,-5.088592640172298
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/807.jpg,32,2,234,594,-3.038513184481119,7.338389697680652,-1.8595962520495135
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/817.jpg,199,84,451,667,-9.926455631150306,-11.627688184151959,-2.2692512580296786
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/819.jpg,109,43,455,970,-2.3554906398348066,16.256877720561956,0.6162759576904491
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/821.jpg,265,95,1352,2969,-5.883445812718319,5.293828674983692,-2.104327026826265
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/826.jpg,270,97,1219,2162,-5.541700628805547,14.328406014246633,-1.3031603198791266
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/827.jpg,120,54,711,1621,2.1518377493667096,13.72261620147411,4.1186573177225165
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/831.jpg,353,240,1023,2429,-8.620382217727288,5.61878543251061,0.42406614283693667
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/838.jpg,119,40,611,953,-5.899359907166786,24.993566186552567,-9.351855423787814
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/840.jpg,52,382,1271,3208,-1.161741597487415,14.064871339899693,-2.735894642988671
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/842.jpg,145,3,628,1269,-0.29448086218960406,12.591369112779029,0.9191041994602174
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/843.jpg,205,74,1270,3232,-9.337420516141872,4.075288669925981,-1.925830533253272
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/851.jpg,403,118,1333,3193,6.007075327918097,3.4122837496006957,-1.8489927468450984
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/864.jpg,106,309,1018,2770,6.407164741522323,11.084537164779137,1.909258179958309
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/865.jpg,125,127,358,611,-5.521175973745055,0.28721754529718724,-0.6697825107127379
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/872.jpg,655,36,2356,4541,1.9416643365477373,9.916834829857219,6.445882406105977
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/875.jpg,51,18,1360,3530,-6.806810540125322,6.457349006665118,-0.07067035992102692
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/886.jpg,86,49,751,1673,-4.611270108998743,2.2806540644942777,-3.430314915753539
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/907.jpg,18,8,173,393,-4.854648954861776,-6.768779506159984,-2.268830559183664
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/910.jpg,14,17,168,441,6.7389657080833905,6.038032898959025,2.499428853972401
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/918.jpg,76,47,304,650,-1.6405311931205024,2.87325644607382,6.98243259288405
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/925.jpg,149,11,834,1705,-4.251533212469353,4.541326914431733,1.703741606678378
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/957.jpg,1234,376,2857,5089,-3.237035478209077,-3.2014652704587907,-4.627481133277854
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/961.jpg,854,123,2006,3252,9.088698986941804,10.1379596505559,3.15084090154788
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1112.jpg,97,62,471,1187,0.32893695234909875,1.393472247927942,-1.7101861799245779
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1195.jpg,32,155,1144,2931,0.2385420544504953,8.266928979073215,-0.45501784742772877
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1196.jpg,71,8,1398,2928,1.7731682553888102,7.673037967935057,-10.681014596010222
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1199.jpg,194,57,1454,3149,-1.104604116245816,7.176258973687072,-2.030784876616341
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1209.jpg,147,28,1686,3991,-3.479317745123348,11.671377187347172,4.102784101319625
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1243.jpg,104,37,1471,2646,-8.537769190896624,3.3336799945918436,3.422222896851095
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1247.jpg,123,82,1163,2599,0.5410180718550295,7.726289210326693,-2.3308234684502445
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1249.jpg,126,17,1682,3463,-3.2469912603321025,13.386104506369879,5.791458838517615
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1250.jpg,69,123,1430,3531,-3.730340997845038,1.40837929215259,5.606536572055307
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1254.jpg,73,64,1224,2868,-1.0589940196276277,8.477683004622458,3.1412507894261577
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1256.jpg,43,86,1127,2584,-0.34234112034944053,10.995919903430119,6.235475493104516
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1257.jpg,91,9,1248,3381,-7.177743438883159,2.258299919537681,-1.7792630575103776
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1258.jpg,101,71,1251,3061,-0.49677259646427036,-0.1287636655903799,-1.1735560091967707
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1259.jpg,241,66,1400,3648,1.5282516021967578,5.892962576529349,-1.2721870139806957
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1261.jpg,28,34,1656,3738,3.5780428571956913,13.442652516197025,0.3060392428011544
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1264.jpg,74,17,1573,3530,3.4189979345436132,9.967663990360755,-9.624437148798894
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1265.jpg,88,46,1168,3421,4.260219020568456,-3.6913354558080957,-3.943673386315497
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1267.jpg,41,33,1399,3554,7.155470177055359,7.402126882970565,4.047117021163863
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1268.jpg,4,23,1325,3472,5.05766952086453,10.212820803759097,2.530502038929373
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1290.jpg,79,78,1081,3146,0.1982883506948074,9.191498232392288,-1.8795714193214552
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1292.jpg,147,64,1528,3603,2.636400950586616,14.247664802038361,-3.2794975186298747
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/802.jpg,34,3,219,464,-2.191621995218584,8.170269793493407,1.8633152524367742
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/863.jpg,229,61,1051,2205,-7.796381990916275,13.279789520976228,-0.8206343450438891
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/869.jpg,101,158,1132,2735,6.314768512712353,2.0338191906157514,5.815419021386542
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/991.jpg,891,124,2618,4442,0.5081432303075549,2.233024002768788,-2.612705486618289
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1025.jpg,52,17,185,417,5.333580044110887,4.291653366029906,3.1678127233286024
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1029.jpg,121,43,329,473,-10.57877115731,3.56835204755382,2.6153168402157254
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1033.jpg,38,31,184,449,-0.3368241354403252,8.552767533238542,-0.1991139775162345
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1034.jpg,285,156,1052,1839,-1.9453822080231737,-11.277278509234923,1.7817956154597447
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1039.jpg,77,51,464,1194,2.534246103396165,5.657847111322128,1.3459220985170546
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1055.jpg,39,14,313,758,-1.2997560772541383,9.935916605019736,-2.410996712474526
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1060.jpg,120,39,996,1728,-7.071168441109978,0.6340942094714396,-3.409482255455006
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1069.jpg,237,149,960,1997,12.500981190843635,-4.460053599131636,2.896785113293688
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1072.jpg,90,20,315,518,-1.174051884998971,16.98370443634808,-3.553491623235947
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1075.jpg,161,31,546,954,-0.43555093396616784,2.670912407889324,0.8594438457740647
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1078.jpg,230,78,627,1183,-0.829701595026759,4.0564168130863285,-2.323056151898643
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1079.jpg,230,126,1124,1888,-0.6290461497422831,14.556496839878976,0.11873881866798483
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1081.jpg,117,70,1074,2534,-3.179322541389286,11.41367473234408,-0.9400669648744047
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1085.jpg,61,34,346,790,5.710634921557642,3.630047325297249,-2.3855062005465397
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1096.jpg,77,20,398,885,1.4387658501565184,1.025894463426899,6.104007636103941
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1098.jpg,370,5,820,1241,-3.146431031530962,-7.04279967509333,-1.9885806819864282
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1100.jpg,33,33,232,487,3.108258773115501,3.77546874907481,8.221727018883149
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1109.jpg,169,17,447,699,-5.885871300756164,8.615458305173846,-5.283262303709208
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1110.jpg,73,69,380,931,-1.3057992848645237,6.556824274957205,-1.7025342333022213
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1126.jpg,81,45,582,1410,-10.31460787135793,5.844444865624838,-3.201827403183603
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1131.jpg,778,254,1965,2494,-4.894721747841158,-0.4323241998013031,-1.274904555227528
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1140.jpg,1568,161,3083,4783,4.741273319257318,9.882864488384254,-1.5879893389292696
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1154.jpg,66,72,343,656,13.693087251305204,-6.700217941198903,7.397659695841928
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1155.jpg,114,74,542,1304,1.6341508653281918,-3.765670964222694,-2.7378322630258283
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1165.jpg,138,15,1496,3002,-7.872755843288622,16.80474690047707,-9.748283429867584
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1166.jpg,90,55,984,2074,-4.683064448996962,13.503877779904215,-8.248977583389077
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1169.jpg,135,346,1017,2490,-5.220863768934163,19.468614318216186,-3.7797605367860907
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1190.jpg,86,107,1025,2631,-1.1819511622331123,0.5791520701339765,4.369819062600071
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1191.jpg,85,70,1475,3455,-3.0556320602267784,4.3542051494771465,-2.6640908751514654
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1230.jpg,28,51,1055,2417,7.565176178311497,-2.6278302583680118,6.035124389480294
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1231.jpg,63,83,907,2012,-4.202026781481271,-12.699801947296502,-6.442899644745296
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1236.jpg,56,13,975,2694,2.3832319920800407,2.018124384408839,-1.9708217994746327
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1238.jpg,71,235,1865,3910,-0.15263345586498753,10.54154264343373,-2.5229775192423705
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1287.jpg,41,22,1173,3121,-0.6248706788941806,12.400958467980233,-4.930705765947024
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1288.jpg,36,48,1186,3203,3.439052040778704,10.659042776320621,2.4819065297463614
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1294.jpg,99,48,1419,3527,7.709589041227392,8.741331089568057,4.94418531642571
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1330.jpg,72,27,935,2847,-0.2743335908577117,5.615658017422884,-2.0741581572156376
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1332.jpg,87,23,1192,3310,5.621592365465213,6.724155968941112,-1.3992886741299557
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1338.jpg,166,69,718,1636,-1.154188649453109,14.530366469358766,-3.302435649418123
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1339.jpg,193,141,1057,1688,-6.046232318765318,-17.169981603035314,-7.933018262671443
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1343.jpg,92,28,808,1748,-4.432821150293324,6.9386988636223155,-0.9492600722105217
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1346.jpg,93,78,371,808,4.550585641540576,4.656612708539844,-2.3901841604233707
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1351.jpg,127,147,474,883,3.652163617917933,16.37142312763264,0.36553148526583734
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1352.jpg,216,59,866,1734,-6.955721870977741,11.623427789616475,-3.004135089022371
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1354.jpg,47,122,1720,2792,5.439132162019023,22.9381787423486,1.1404978825951488
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1357.jpg,119,93,1082,2188,-3.739075338314465,2.572671289513932,-7.117845188417023
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1358.jpg,68,9,198,366,-4.026446776495022,-1.0005453737201164,-2.478565100762221
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1360.jpg,49,34,182,319,-6.5381834828628875,-1.7003722557038905,-2.943013923573961
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1363.jpg,70,60,277,389,3.699636131718378,-24.770971313434956,6.25824854636399
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1365.jpg,72,45,1239,2492,-1.9828896642500882,13.340511927001984,-1.0392466867929544
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1367.jpg,114,21,502,1191,3.9467007789869086,3.5915382762509167,1.0587674261047033
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1369.jpg,63,13,442,1024,4.565553817480481,-2.418797694026935,-5.88383458437777
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1370.jpg,75,5,710,1237,0.10859121959463824,9.767439402608248,11.827480625824723
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1371.jpg,75,33,560,939,1.3133957917746975,17.952759663414806,-0.37800437445177615
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1373.jpg,41,7,669,1082,13.150708666288235,-14.082818152377587,0.9273327267015568
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1375.jpg,79,11,575,1270,-6.020102563636777,15.597281076844238,3.103793838016168
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1376.jpg,350,68,1005,1366,5.517059082620106,17.4537073914465,7.8709699685978425
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1381.jpg,291,59,1306,2449,-0.5719961765917493,-4.416198461938492,-7.080336591414442
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1382.jpg,193,226,2053,4795,9.176020089359085,-0.28954469535157307,4.672635667960683
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1383.jpg,235,45,1929,2616,10.506783841334261,-5.497607470702824,5.003944646318414
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/images/1384.jpg,158,143,1192,2871,-3.117639787406506,5.222928810788514,4.078184030333035
