path;bbox_x_min;bbox_y_min;bbox_x_max;bbox_y_max;yaw;pitch;roll
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/687,jpg;83;127;931;1873;1,709958251;14,89516854;3,239668302
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/688,jpg;44;12;279;701;8,223132579;-10,2707952;-3,253492847
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/698,jpg;226;199;893;1992;-9,305931191;-5,223633638;-0,83464842
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/702,jpg;52;70;637;1483;1,925290653;-0,373402779;-4,352146146
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/707,jpg;222;138;1022;1838;2,743794006;-7,80501888;5,130736895
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/713,jpg;66;26;216;335;-3,967436512;10,21290046;4,957498041
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/721,jpg;162;101;1018;2122;-12,26421475;-2,290880617;-1,312975171
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/727,jpg;101;60;551;1046;8,764155277;41,59882675;-4,878567337
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/728,jpg;106;51;965;1725;2,929290876;30,50587305;-5,586067842
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/729,jpg;396;113;1451;2737;-6,768400814;-3,781168023;4,197977803
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/765,jpg;57;54;295;742;-6,84896983;11,32458024;-4,132090847
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/772,jpg;42;19;237;497;-3,37036436;6,621332026;2,069575826
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/778,jpg;239;145;1190;2273;0,099466344;15,43686257;1,130957743
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/781,jpg;94;24;322;526;-3,749218164;-2,39583756;-2,095803052
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/783,jpg;370;14;1991;2899;-13,06228324;0,399672971;7,079895871
/content/gdrive/My Drive/Horses/pose_estimation/,,/dataset/images/790,jpg;98;49;237;447;-4,394096926;9,716775976;-6,123287672
