path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/0.png,582,510,978,1198,61.36282840655833,-21.13186744984388,12.379520940718537
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/1.png,655,509,913,1196,-7.137345243691022,10.848773173563115,-13.837304928788134
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/2.png,654,503,1194,1041,78.38289202764147,21.958126863831232,-9.841758982083801
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/3.png,712,400,1151,1119,84.97453469025871,-1.4132598322608274,-10.093229809975488
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/4.png,462,419,1103,894,75.45510385657765,85.80392907378086,-15.514377455134166
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/5.png,641,460,916,1151,-7.317489445743337,2.76782825591712,8.474855055707064
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/6.png,602,574,1123,1193,11.304905388365214,30.222120273028168,-15.514377455134166
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/7.png,565,402,1025,1085,5.833877186582026,12.066082664047684,40.867142698245615
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/8.png,675,401,1139,1194,61.585329493439524,-18.319347744822995,-13.837304928788134
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/9.png,680,509,1008,1195,15.342347015037982,7.62814066188226,-5.912440465228876
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/10.png,408,683,1160,978,-14.052986541594475,85.80392907378086,9.791964909819477
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/11.png,426,567,1051,1175,-17.64906966010207,-36.12312175670816,-16.58404860367473
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/12.png,433,629,1011,938,-35.9374485851037,-32.99410797535891,-40.033457744296946
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/13.png,566,573,931,1195,-8.174494630859165,-13.536188104722752,-26.232897333757332
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/14.png,575,401,944,1167,-56.034001870937786,17.870523548444098,12.758516109706841
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/15.png,465,609,1148,879,25.50238862203262,83.10532618387559,-5.8373649013599715
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/16.png,592,400,985,1107,-15.744264797697065,20.30403923664384,11.969288945397999
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/17.png,675,401,943,1149,51.2155348893037,-22.610789023439946,-0.15932581571127802
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/18.png,687,550,1086,1193,23.797257479342072,4.856869299962275,-24.96958218646445
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/19.png,401,522,999,1061,-57.07065448030791,-24.429790161802302,-13.901166527735809
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/20.png,507,540,1198,937,67.79158358351224,23.323234022315063,-40.864057145783
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/21.png,448,401,901,1065,-67.58550281400808,-42.263025012018716,59.7855369994686
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/22.png,726,526,952,1193,11.527109702851474,-2.3222993662970115,-12.285637509116025
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/23.png,606,406,1080,1194,64.72658441369228,-14.957643780581087,16.3116120115093
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/24.png,550,514,1055,1183,-10.159656461828733,38.56160618976132,-10.696940003881043
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/25.png,698,404,1037,1111,75.53700453462804,-7.009811308035491,8.474855055707064
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/26.png,661,405,1109,1161,49.695587829309844,-3.908255205825635,26.761834357387603
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/27.png,641,425,1000,1087,15.731089399333294,19.51482227937754,35.42541746451451
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/28.png,523,694,1189,997,-13.639902540517836,85.80392907378086,-9.841758982083801
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/29.png,598,644,1180,1084,-7.1828472916932835,69.87506016679525,-34.809220590949174
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/30.png,652,402,1089,1148,61.91290272671202,-23.744205567142203,-1.6812948753681054
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/31.png,406,465,896,1072,-86.68790861442264,-11.210523976793272,-13.837304928788134
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/32.png,558,406,933,1084,-13.9364654291623,7.62814066188226,32.67650475861509
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/33.png,489,419,1074,1175,14.403544329937958,30.146891474348124,8.474855055707064
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/34.png,663,400,1024,1019,23.863299584005272,37.73282837470573,49.9400842301834
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/35.png,453,513,1051,1117,25.66972866715288,-54.298524110754116,-12.493923964282807
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/36.png,554,565,1163,1144,-8.06865223884154,53.31810924487263,-7.309807337143194
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/37.png,400,625,1075,962,-8.884403016592191,75.19497830482395,28.496202629078887
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/38.png,404,489,1095,1067,24.263344596590105,53.64346020565305,17.164345546111893
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/39.png,501,423,941,1173,-48.886485218614744,29.869309523996936,7.500250489535817
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/40.png,459,443,1196,1134,-12.066555378756249,-45.995923130733715,8.436986745418189
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/41.png,603,550,1197,1179,84.62523661257089,-19.61556442796315,27.810479150588574
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/42.png,692,400,1061,1131,57.82664883855385,3.712664648602103,5.305172122573506
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/43.png,599,438,1005,1148,7.404583485906791,-20.184355940821337,6.302349053732822
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/44.png,632,400,978,1083,-9.316796669415188,-15.43277506347857,24.30823119677014
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/45.png,675,400,978,1142,10.94203591727593,3.3319728099155044,11.686754023508186
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/46.png,604,402,903,1068,-52.69632857333998,-10.977051336908778,33.307439605076105
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/47.png,604,514,959,1179,-18.740319964639827,30.146891474348124,-12.495809520978353
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/48.png,456,464,1017,1172,-20.082652495066533,21.45513058565545,33.26913784930572
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/49.png,494,404,1070,1106,-11.480425214897542,37.290293821054505,13.837032380441032
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/50.png,718,518,1176,779,14.063266710018551,-7.97078912455247,-61.500552723443825
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/51.png,567,537,1117,1193,12.666417370636157,31.52403728734814,-10.08390678450698
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/52.png,462,545,1199,908,60.16125822274446,34.8536857391923,-33.71937882965447
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/53.png,515,629,1072,1199,-59.31239681019744,70.53409463598064,-17.9642022687387
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/54.png,482,462,994,1195,-61.763783253587235,3.2080861076519662,35.67540186657381
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/55.png,680,409,1147,1191,67.87127268564089,-13.536188104722752,-6.476494210015999
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final/56.png,606,493,909,1192,-20.326766075435458,23.323234022315063,-9.051615090247218
