path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/0.png,72,72,395,782,-6.197693383078836,2.3039788848297293,7.729132896015887
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/1.png,69,70,785,726,47.69164183508068,35.663335533508075,0.20755836817415016
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/10.png,77,78,539,777,29.16758748510824,18.024842239201426,1.7344073078634903
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/100.png,73,73,627,781,54.224368871032475,9.243220967600898,2.2517939038799315
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/101.png,77,77,434,778,-12.699312696117548,21.04840017704252,-2.3522485410317167
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/102.png,75,75,734,780,-59.76701876069871,-19.46996873995934,10.137433620239786
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/103.png,71,71,537,784,-43.86869728094068,3.409978044010947,-5.518544178540917
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/104.png,91,91,694,764,11.696620216659795,18.91311824423101,-36.58445595157178
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/105.png,81,82,544,773,-50.837071125091825,12.303677992684893,11.838799343921561
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/106.png,73,72,544,783,54.94458447678312,-16.819515250131964,-12.232700915414789
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/107.png,74,73,387,782,-14.452196505925505,-8.180679299206645,5.146440950116126
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/108.png,75,75,484,780,30.127669652424153,-24.069528679483454,9.516681437297535
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/109.png,81,81,449,774,10.478324803497838,5.743965728015443,30.018916157625505
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_0/11.png,75,75,343,779,-14.492992343772457,-2.1301086945641723,4.056822997410035
