path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/0.png,488,402,877,1138,-19.59103300510293,-10.259321174908266,37.30443337579909
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/1.png,550,599,1010,1198,-51.74198839995272,71.37619837141358,-25.48037045571968
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/2.png,567,507,932,1183,-32.161066908216426,-10.711189236397583,-11.96253336575432
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/3.png,580,472,917,1154,-29.18508768813714,25.5824373581676,-8.08960918320118
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/4.png,415,515,983,1192,-56.16638838731435,12.012508972077176,35.42265690691291
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/5.png,425,602,844,1039,-18.973396419478117,18.78071321504572,-51.805378369511224
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/6.png,548,402,932,1173,-44.122924428221005,12.25272587964596,-8.7442196516586
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/7.png,485,403,891,1133,-49.994926522188564,-23.3135913170547,22.928301667607876
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/8.png,446,508,1010,1183,-58.08884673722907,19.521192966948213,32.27613134977623
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/9.png,456,607,913,1165,-8.738755225460181,-23.928547459537626,52.67295800964306
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/10.png,637,424,1020,1172,8.650077860698733,-0.017718742824948563,34.056834080475795
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/11.png,533,405,987,1086,7.062397825740081,25.65445471736455,31.401522761335954
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/12.png,413,622,1002,1186,-85.83738217479788,25.65445471736455,28.171041289975612
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/13.png,628,547,1060,1195,11.16062800183464,19.281910472791267,-15.610262777324799
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/14.png,524,405,946,1145,-66.68501131245073,13.19565366721668,6.63998723841612
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/15.png,604,402,1038,1107,-9.725977104297955,-23.973139985113974,39.03042570010624
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/16.png,586,400,1123,1083,-11.139879180632711,-31.231789331466175,27.122427231034315
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/17.png,600,401,896,1093,-52.44130067567091,-5.581041645313696,19.940813774925747
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/18.png,684,405,1098,1160,66.00174314081653,-18.409618378182248,-11.254167336801789
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/19.png,400,523,943,1080,-61.8128017629222,-0.017718742824948563,-33.47436190501729
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/20.png,576,493,1198,958,77.14650264214438,40.99667959718199,-10.14852695035548
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/21.png,427,590,1003,1078,-19.689248186322995,-31.52727648292585,-26.74170296151196
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/22.png,721,535,1025,1167,31.261862096596516,-18.409618378182248,-26.90079251589216
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/23.png,559,523,948,1195,-18.81466990157272,-11.610909094660592,-8.08960918320118
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/24.png,593,609,1193,1138,9.052075405435728,41.99912074761301,-23.603335432030615
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/25.png,685,404,1046,1075,59.33995331156207,18.672273892335337,39.25205547617777
/Users/Pessa001/Desktop/Horse Project/pain_horses/dataset/pose/aug_data_alpha_0.5_final/26.png,669,561,1199,1004,55.27588026249626,-10.821258757034277,-51.805378369511224
