path,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,yaw,pitch,roll
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/0.png,541,403,1069,1180,-9.79167329494769,29.800808942101632,7.52308897102653
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/1.png,504,402,1103,1048,-13.953339732581485,-47.538742862527684,32.190672565000945
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/2.png,410,433,937,1152,-60.034951054276505,-23.164430267209077,-0.0679033684477961
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/3.png,447,479,914,1132,-55.45402754227894,-6.832055877513433,-13.9684549915915
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/4.png,654,793,991,988,11.848541728236206,-6.3139107309984,84.64501980813729
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/5.png,573,399,1078,1120,-6.655325054132351,-27.52605403558375,15.12372129019533
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/6.png,530,405,907,1190,-54.05217613520607,10.561182947140933,-8.152767998610548
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/7.png,452,448,1199,1135,-13.531171229110186,-46.97755596484855,7.52308897102653
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/8.png,748,501,951,1193,21.711797377561197,-11.382216530777047,-10.888568235498788
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/9.png,402,531,926,1132,-57.162051124255505,15.513094917666681,-41.490661769416405
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/10.png,583,448,951,1172,-27.060933366778023,-13.251015112622591,7.305849859715506
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/11.png,648,700,1199,1061,31.373452478807625,37.96756745264688,88.1274537330588
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/12.png,401,456,1134,907,80.77772920504115,83.67491876686096,-9.156651376114867
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/13.png,552,592,1040,1186,-67.84852086151218,41.47882346175443,7.52308897102653
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/14.png,513,581,907,1196,-5.974037056927124,-7.4123414977732605,-41.490661769416405
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/15.png,596,592,1027,1184,-22.454395004676755,56.744002907427436,-28.965052587788936
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/16.png,637,407,1176,1179,77.41031843548932,-16.622521326870704,15.12626228483472
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/17.png,400,510,1005,1192,-66.3291449642218,8.393549372533526,38.30571007193018
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/18.png,685,496,1194,1140,56.49846167379791,10.561182947140933,-14.69585774126096
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/19.png,418,417,1133,1180,13.129797277022154,38.37941287991673,9.850182262173576
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/20.png,429,595,990,905,-31.427870249937307,-29.36244104257646,-51.71980666591051
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/21.png,665,559,945,1183,8.372835928776377,-20.141712749837808,-25.141945874813683
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/22.png,589,587,1168,1004,47.514175276224044,55.573458713041525,12.92332989218844
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/23.png,614,490,854,1172,-20.972343218211886,16.34015625031045,-9.583658248931137
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/24.png,411,492,929,1114,-61.82855088887558,-4.761891978996684,-21.270629125943067
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/25.png,577,433,954,1171,-6.082829505157954,7.735550214413491,33.02834896925606
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/26.png,402,726,945,1101,-28.747371257448034,-11.428566567084804,83.00063370715063
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/27.png,525,627,1091,1169,-53.360225222534005,35.18446881264989,28.251854461053117
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/28.png,589,421,1004,1178,-11.162345468299971,-18.631096931969328,30.02667348673361
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/29.png,716,524,940,1167,7.683175810583947,-8.097301173875637,-12.141060440562118
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/30.png,574,641,1006,1185,15.692496414765005,-68.07000233765466,-42.051271935276645
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/31.png,688,465,1175,1157,58.67794796246243,-7.64378526361061,-20.25752749604142
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/32.png,617,473,1189,999,67.3916014721773,31.00943364260442,-8.18377844909313
/content/gdrive/My Drive/Horses/pose_estimation/../dataset/pose/aug_data_alpha_0.7_final_1/33.png,439,471,1088,1021,-32.16348530571893,-68.07000233765466,33.90017762260164
